;Фамилия;Имя; отчество;Login;Password;Role;;;roles;
1;Алексеев ;Владислав;Аркадьевич;loginDEbct2018;Qg3gff;2;;;id;
2;Савельева ;Евфросиния;Арсеньевна;loginDEvtg2018;ETMNzL;1;;;1;Администратор
3;Никонов ;Мэлс;Лукьевич;loginDEuro2018;a1MIcO;2;;;2;Клиент
4;Горшкова ;Агафья;Онисимовна;loginDEpst2018;0CyGnX;2;;;3;Менеджер
5;Горбачёв ;Пантелеймон;Германович;loginDEpsu2018;Vx9cQ{;3;;;;
6;Ершова ;Иванна;Максимовна;loginDEzqs2018;qM9p7i;3;;;;
7;Туров ;Денис;Геласьевич;loginDEioe2018;yMPu&2;3;;;;
8;Носова ;Наина;Эдуардовна;loginDEcmk2018;3f+b0+;1;;;;
9;Куликов ;Андрей;Святославович;loginDEfsp2018;&dtlI+;2;;;;
10;Нестеров ;Агафон;Георгьевич;loginDExcd2018;SZXZNL;2;;;;
11;Козлов ;Геласий;Христофорович;loginDEvlf2018;O5mXc2;3;;;;
12;Борисова ;Анжелика;Анатольевна;loginDEanv2018;Xiq}M3;1;;;;
13;Суханов ;Станислав;Фролович;loginDEzde2018;tlO3x&;3;;;;
14;Тетерина ;Феврония;Эдуардовна;loginDEriv2018;GJ2mHL;3;;;;
15;Муравьёва ;Александра;Ростиславовна;loginDEhcp2018;n2nfRl;3;;;;
16;Новикова ;Лукия;Ярославовна;loginDEwjv2018;ZfseKA;3;;;;
17;Агафонова ;Лариса;Михаиловна;loginDEiry2018;5zu7+};3;;;;
18;Сергеева ;Агата;Юрьевна;loginDEgbr2018;}+Ex1*;3;;;;
19;Колобова ;Елена;Евгеньевна;loginDExxv2018;+daE|T;3;;;;
20;Ситников ;Николай;Филатович;loginDEbto2018;b1iYMI;2;;;;
21;Белов ;Роман;Иринеевич;loginDEfbs2018;v90Rep;3;;;;
22;Волкова ;Алла;Лукьевна;loginDEple2018;WlW+l8;1;;;;
23;Кудрявцева ;Таисия;Игоревна;loginDEhhx2018;hmCHeQ;3;;;;
24;Семёнова ;Октябрина;Христофоровна;loginDEayn2018;Ka2Fok;3;;;;
25;Смирнов ;Сергей;Яковович;loginDEwld2018;y9HStF;3;;;;
26;Брагина ;Алина;Валерьевна;loginDEhuu2018;X31OEf;2;;;;
27;Евсеев ;Игорь;Донатович;loginDEmjb2018;5mm{ch;3;;;;
28;Суворов ;Илья;Евсеевич;loginDEdgp2018;1WfJjo;3;;;;
29;Котов ;Денис;Мартынович;loginDEgyi2018;|7nYPc;1;;;;
30;Бобылёва ;Юлия;Егоровна;loginDEmvn2018;Mrr9e0;2;;;;
31;Брагин ;Бронислав;Георгьевич;loginDEfoj2018;nhGc+D;1;;;;
32;Александров ;Владимир;Дамирович;loginDEuuo2018;42XmH1;2;;;;
33;Фокин ;Ириней;Ростиславович;loginDEhsj2018;s+jrMW;2;;;;
34;Воронов ;Митрофан;Антонович;loginDEvht2018;zMyS8Z;2;;;;
35;Маслов ;Мстислав;Антонинович;loginDEeqo2018;l5CBqA;2;;;;
36;Щербаков ;Георгий;Богданович;loginDExrf2018;mhpRIT;2;;;;
37;Кириллова ;Эмилия;Федосеевна;loginDEfku2018;a1m+8c;3;;;;
38;Васильев ;Серапион;Макарович;loginDExix2018;hzxtnn;1;;;;
39;Галкина ;Олимпиада;Владленовна;loginDEqrf2018;mI8n58;3;;;;
40;Яковлева ;Ксения;Онисимовна;loginDEhlk2018;g0jSed;2;;;;
41;Калашникова ;Александра;Владимировна;loginDEwoe2018;yOtw2F;1;;;;
42;Медведьева ;Таисия;Тихоновна;loginDExyu2018;7Fg}9p;2;;;;
43;Карпова ;Ольга;Лукьевна;loginDEcor2018;2cIrC8;2;;;;
44;Герасимов ;Мстислав;Дамирович;loginDEqon2018;YeFbh6;3;;;;
45;Тимофеева ;Ксения;Валерьевна;loginDEyfd2018;8aKdb0;2;;;;
46;Горбунов ;Вячеслав;Станиславович;loginDEtto2018;qXYDuu;3;;;;
47;Кошелева ;Кира;Владиславовна;loginDEdal2018;cJWXL0;3;;;;
48;Панфилова ;Марина;Борисовна;loginDEbjs2018;Xap2ct;3;;;;
49;Кудрявцев ;Матвей;Игоревич;loginDEdof2018;kD|LRU;3;;;;
50;Зуев ;Эдуард;Пантелеймонович;loginDEsnh2018;kD|LRU;3;;;;
